chrom,start,end,type
chr1,700000,800000,boundary
chr1,800000,900000,boundary
chr1,1575000,1675000,boundary
chr1,1675000,1850000,boundary
chr1,1850000,2025000,boundary
chr1,10425000,10550000,boundary
chr1,11700000,11850000,boundary
chr1,11850000,12150000,boundary
chr1,16350000,16400000,boundary
chr1,16575000,16700000,boundary
chr1,16700000,16825000,boundary
chr1,17175000,17225000,boundary
chr1,17225000,17375000,boundary
chr1,17800000,17975000,boundary
chr1,20075000,20125000,boundary
chr1,20825000,21000000,boundary
chr1,23675000,23800000,boundary
chr1,25550000,25700000,boundary
chr1,28575000,28675000,boundary
chr1,31400000,31550000,boundary
chr1,32025000,32100000,boundary
chr1,35850000,35900000,boundary
chr1,40025000,40225000,boundary
chr1,40900000,41025000,boundary
chr1,45175000,45300000,boundary
chr1,46375000,46475000,boundary
chr1,53550000,53650000,boundary
chr1,55375000,55500000,boundary
chr1,73100000,73175000,boundary
chr1,75675000,75725000,boundary
chr1,78025000,78100000,boundary
chr1,80525000,80600000,boundary
chr1,86100000,86175000,boundary
chr1,95575000,95750000,boundary
chr1,97050000,97125000,boundary
chr1,98975000,99100000,boundary
chr1,102850000,102925000,boundary
chr1,106475000,106700000,boundary
chr1,110575000,110675000,boundary
chr1,112850000,112900000,boundary
chr1,117625000,117675000,boundary
chr1,119450000,119500000,boundary
chr1,120300000,120400000,boundary
chr1,148725000,148775000,boundary
chr1,151175000,151250000,boundary
chr1,151250000,151400000,boundary
chr1,151850000,152025000,boundary
chr1,152025000,152100000,boundary
chr1,153650000,153750000,boundary
chr1,154150000,154250000,boundary
chr1,154925000,155050000,boundary
chr1,155050000,155150000,boundary
chr1,156300000,156425000,boundary
chr1,156625000,156700000,boundary
chr1,157050000,157125000,boundary
chr1,158975000,159050000,boundary
chr1,159050000,159200000,boundary
chr1,160975000,161150000,boundary
chr1,165900000,165950000,boundary
chr1,168200000,168275000,boundary
chr1,172400000,172500000,boundary
chr1,176225000,176325000,boundary
chr1,179625000,179800000,boundary
