chrom,start,end,type
chr1,825000,900000,boundary
chr1,1250000,1450000,boundary
chr1,1450000,1575000,boundary
chr1,1575000,1675000,boundary
chr1,1850000,2025000,boundary
chr1,2025000,2125000,boundary
chr1,4875000,4925000,boundary
chr1,6250000,6300000,boundary
chr1,6550000,6750000,boundary
chr1,6750000,6850000,boundary
chr1,7700000,7825000,boundary
chr1,10425000,10500000,boundary
chr1,10500000,10575000,boundary
chr1,11700000,11850000,boundary
chr1,11850000,11975000,boundary
chr1,11975000,12100000,boundary
chr1,12100000,12150000,boundary
chr1,12725000,12850000,boundary
chr1,13700000,13825000,boundary
chr1,14175000,14300000,boundary
chr1,14750000,14875000,boundary
chr1,17175000,17225000,boundary
chr1,19400000,19575000,boundary
chr1,19575000,19650000,boundary
chr1,20000000,20200000,boundary
chr1,20825000,21000000,boundary
chr1,21000000,21200000,boundary
chr1,21200000,21250000,boundary
chr1,22350000,22425000,boundary
chr1,27625000,27725000,boundary
chr1,28000000,28150000,boundary
chr1,28575000,28650000,boundary
chr1,32025000,32100000,boundary
chr1,32100000,32250000,boundary
chr1,32550000,32650000,boundary
chr1,34550000,34600000,boundary
chr1,39975000,40050000,boundary
chr1,40200000,40250000,boundary
chr1,40900000,41000000,boundary
chr1,45125000,45300000,boundary
chr1,45975000,46050000,boundary
chr1,46700000,46825000,boundary
chr1,47850000,47900000,boundary
chr1,48425000,48550000,boundary
chr1,48550000,48700000,boundary
chr1,53175000,53300000,boundary
chr1,55325000,55500000,boundary
chr1,55750000,55825000,boundary
chr1,59150000,59250000,boundary
chr1,60225000,60425000,boundary
chr1,62225000,62325000,boundary
chr1,79075000,79150000,boundary
chr1,91025000,91175000,boundary
chr1,91625000,91750000,boundary
chr1,93100000,93200000,boundary
chr1,93200000,93300000,boundary
chr1,93475000,93550000,boundary
chr1,94375000,94500000,boundary
chr1,94800000,94950000,boundary
chr1,98975000,99175000,boundary
chr1,100925000,101000000,boundary
chr1,101775000,101950000,boundary
chr1,104250000,104325000,boundary
chr1,104700000,104750000,boundary
chr1,105200000,105250000,boundary
chr1,105250000,105300000,boundary
chr1,109200000,109300000,boundary
chr1,109475000,109650000,boundary
chr1,109650000,109750000,boundary
chr1,110575000,110675000,boundary
chr1,113250000,113350000,boundary
chr1,115250000,115325000,boundary
chr1,116150000,116250000,boundary
chr1,117050000,117100000,boundary
chr1,117600000,117675000,boundary
chr1,119700000,119750000,boundary
chr1,119750000,119825000,boundary
chr1,119825000,120075000,boundary
chr1,120075000,120250000,boundary
chr1,120250000,120400000,boundary
chr1,146750000,146875000,boundary
chr1,150525000,150600000,boundary
chr1,151250000,151325000,boundary
chr1,151325000,151375000,boundary
chr1,151850000,152025000,boundary
chr1,152450000,152625000,boundary
chr1,154150000,154250000,boundary
chr1,154250000,154300000,boundary
chr1,154450000,154525000,boundary
chr1,154925000,155075000,boundary
chr1,155075000,155150000,boundary
chr1,155150000,155300000,boundary
chr1,155575000,155700000,boundary
chr1,156325000,156425000,boundary
chr1,156925000,157050000,boundary
chr1,157050000,157150000,boundary
chr1,157925000,158100000,boundary
chr1,158975000,159075000,boundary
chr1,159750000,159900000,boundary
chr1,159900000,160000000,boundary
chr1,160950000,161125000,boundary
chr1,161375000,161425000,boundary
chr1,163325000,163500000,boundary
