chrom,start,end,type
chr1,825000,900000,boundary
chr1,1250000,1450000,boundary
chr1,1450000,1575000,boundary
chr1,1575000,1675000,boundary
chr1,1675000,1850000,boundary
chr1,2050000,2125000,boundary
chr1,2675000,2725000,boundary
chr1,3350000,3550000,boundary
chr1,3550000,3725000,boundary
chr1,6050000,6250000,boundary
chr1,6250000,6300000,boundary
chr1,6550000,6750000,boundary
chr1,6750000,6850000,boundary
chr1,7700000,7825000,boundary
chr1,9175000,9300000,boundary
chr1,10425000,10575000,boundary
chr1,11700000,11875000,boundary
chr1,11875000,11975000,boundary
chr1,11975000,12050000,boundary
chr1,12050000,12100000,boundary
chr1,16400000,16525000,boundary
chr1,16700000,16825000,boundary
chr1,17175000,17225000,boundary
chr1,17225000,17375000,boundary
chr1,19425000,19575000,boundary
chr1,19575000,19650000,boundary
chr1,20000000,20200000,boundary
chr1,20825000,21000000,boundary
chr1,22350000,22425000,boundary
chr1,24300000,24350000,boundary
chr1,27250000,27425000,boundary
chr1,27625000,27725000,boundary
chr1,28000000,28050000,boundary
chr1,28575000,28700000,boundary
chr1,28825000,28975000,boundary
chr1,29100000,29200000,boundary
chr1,31400000,31650000,boundary
chr1,32025000,32100000,boundary
chr1,32100000,32250000,boundary
chr1,32525000,32650000,boundary
chr1,33950000,34100000,boundary
chr1,35225000,35325000,boundary
chr1,35900000,36025000,boundary
chr1,36775000,36950000,boundary
chr1,38150000,38275000,boundary
chr1,38275000,38325000,boundary
chr1,39950000,40050000,boundary
chr1,40050000,40250000,boundary
chr1,40900000,41000000,boundary
chr1,45125000,45300000,boundary
chr1,46700000,46825000,boundary
chr1,46825000,47000000,boundary
chr1,54225000,54300000,boundary
chr1,55350000,55400000,boundary
chr1,55400000,55525000,boundary
chr1,58525000,58625000,boundary
chr1,58975000,59150000,boundary
chr1,60250000,60425000,boundary
chr1,70900000,71000000,boundary
chr1,78475000,78600000,boundary
chr1,79075000,79175000,boundary
chr1,82475000,82550000,boundary
chr1,87900000,87950000,boundary
chr1,93100000,93200000,boundary
chr1,93200000,93300000,boundary
chr1,93475000,93550000,boundary
chr1,93550000,93650000,boundary
chr1,93650000,93750000,boundary
chr1,94800000,94950000,boundary
chr1,97375000,97425000,boundary
chr1,101775000,101875000,boundary
chr1,109050000,109100000,boundary
chr1,109500000,109650000,boundary
chr1,109650000,109750000,boundary
chr1,110025000,110075000,boundary
chr1,110075000,110175000,boundary
chr1,110575000,110675000,boundary
chr1,113250000,113350000,boundary
chr1,114250000,114300000,boundary
chr1,115250000,115300000,boundary
chr1,117050000,117100000,boundary
chr1,117900000,118050000,boundary
chr1,119975000,120075000,boundary
chr1,120075000,120250000,boundary
chr1,120250000,120400000,boundary
chr1,121075000,121125000,boundary
chr1,146625000,146725000,boundary
chr1,146725000,146900000,boundary
chr1,149575000,149625000,boundary
chr1,149675000,149800000,boundary
chr1,150450000,150525000,boundary
chr1,150525000,150600000,boundary
chr1,150975000,151150000,boundary
chr1,151150000,151250000,boundary
chr1,151250000,151400000,boundary
chr1,151850000,152025000,boundary
chr1,152025000,152150000,boundary
chr1,152450000,152625000,boundary
chr1,153475000,153650000,boundary
chr1,153650000,153750000,boundary
chr1,154925000,155050000,boundary
chr1,155050000,155150000,boundary
chr1,155150000,155200000,boundary
