chrom,start,end,type
chr1,800000,925000,boundary
chr1,1275000,1575000,boundary
chr1,1575000,1675000,boundary
chr1,1675000,1850000,boundary
chr1,1850000,2000000,boundary
chr1,2675000,2725000,boundary
chr1,6550000,6775000,boundary
chr1,9600000,9650000,boundary
chr1,10425000,10575000,boundary
chr1,11700000,11825000,boundary
chr1,12150000,12325000,boundary
chr1,12725000,12850000,boundary
chr1,13700000,13750000,boundary
chr1,15650000,15850000,boundary
chr1,17175000,17250000,boundary
chr1,17250000,17375000,boundary
chr1,17800000,17975000,boundary
chr1,19400000,19600000,boundary
chr1,20825000,20975000,boundary
chr1,22350000,22450000,boundary
chr1,24025000,24075000,boundary
chr1,27625000,27725000,boundary
chr1,28000000,28050000,boundary
chr1,28575000,28675000,boundary
chr1,31425000,31550000,boundary
chr1,32025000,32075000,boundary
chr1,32475000,32525000,boundary
chr1,33975000,34100000,boundary
chr1,38175000,38250000,boundary
chr1,39975000,40050000,boundary
chr1,40900000,41025000,boundary
chr1,41450000,41700000,boundary
chr1,43925000,43975000,boundary
chr1,44675000,44775000,boundary
chr1,45175000,45300000,boundary
chr1,46050000,46150000,boundary
chr1,46375000,46475000,boundary
chr1,46700000,46825000,boundary
chr1,55400000,55500000,boundary
chr1,59150000,59200000,boundary
chr1,65125000,65300000,boundary
chr1,67625000,67675000,boundary
chr1,70150000,70300000,boundary
chr1,71975000,72025000,boundary
chr1,75200000,75250000,boundary
chr1,75575000,75700000,boundary
chr1,94400000,94450000,boundary
chr1,94875000,94925000,boundary
chr1,96300000,96350000,boundary
chr1,98950000,99200000,boundary
chr1,101925000,102025000,boundary
chr1,102825000,102975000,boundary
chr1,102975000,103075000,boundary
chr1,104475000,104550000,boundary
chr1,106400000,106925000,boundary
chr1,106925000,107000000,boundary
chr1,107000000,107300000,boundary
chr1,107300000,107400000,boundary
chr1,107400000,107575000,boundary
chr1,109500000,109650000,boundary
chr1,109650000,109750000,boundary
chr1,110025000,110075000,boundary
chr1,110075000,110175000,boundary
chr1,110575000,110675000,boundary
chr1,117050000,117125000,boundary
chr1,117600000,117675000,boundary
chr1,118400000,118525000,boundary
chr1,119825000,120050000,boundary
chr1,120250000,120375000,boundary
chr1,145325000,145375000,boundary
chr1,146725000,146900000,boundary
chr1,149575000,149675000,boundary
chr1,149675000,149875000,boundary
chr1,151250000,151375000,boundary
chr1,151850000,152025000,boundary
chr1,152025000,152150000,boundary
chr1,152625000,152750000,boundary
chr1,152750000,152825000,boundary
chr1,153475000,153650000,boundary
chr1,153650000,153750000,boundary
chr1,154150000,154250000,boundary
chr1,154250000,154300000,boundary
chr1,154450000,154525000,boundary
chr1,155050000,155150000,boundary
chr1,155700000,155875000,boundary
chr1,155875000,156025000,boundary
chr1,156025000,156100000,boundary
chr1,156325000,156425000,boundary
chr1,156950000,157025000,boundary
chr1,157025000,157150000,boundary
chr1,158975000,159075000,boundary
chr1,159075000,159200000,boundary
chr1,160975000,161125000,boundary
chr1,168075000,168275000,boundary
chr1,179650000,179800000,boundary
chr1,186250000,186350000,boundary
chr1,189225000,189575000,boundary
chr1,193025000,193100000,boundary
chr1,193100000,193150000,boundary
chr1,194675000,194750000,boundary
chr1,196675000,196725000,boundary
chr1,198675000,198725000,boundary
chr1,201025000,201200000,boundary
chr1,204375000,204525000,boundary
chr1,205225000,205300000,boundary
chr1,207700000,207900000,boundary
chr1,207900000,207975000,boundary
chr1,208175000,208275000,boundary
chr1,210175000,210300000,boundary
chr1,213175000,213250000,boundary
chr1,213250000,213400000,boundary
chr1,213400000,213550000,boundary
chr1,218350000,218425000,boundary
chr1,219575000,219625000,boundary
chr1,222250000,222350000,boundary
chr1,226175000,226300000,boundary
chr1,229700000,229775000,boundary
chr1,234500000,234600000,boundary
chr1,235225000,235275000,boundary
chr1,236700000,236775000,boundary
chr1,237725000,237900000,boundary
chr1,241575000,241625000,boundary
chr1,244475000,244625000,boundary
chr1,246050000,246100000,boundary
chr1,246100000,246150000,boundary
chr1,246950000,247000000,boundary
chr1,247000000,247075000,boundary
chr10,150000,250000,boundary
chr10,250000,525000,boundary
chr10,2100000,2175000,boundary
chr10,3125000,3225000,boundary
chr10,6750000,6875000,boundary
