chrom,start,end,type
chr1,850000,900000,boundary
chr1,1275000,1575000,boundary
chr1,1575000,1675000,boundary
chr1,1675000,1850000,boundary
chr1,2050000,2100000,boundary
chr1,6250000,6300000,boundary
chr1,6550000,6775000,boundary
chr1,6775000,6850000,boundary
chr1,9175000,9300000,boundary
chr1,10425000,10550000,boundary
chr1,11700000,11800000,boundary
chr1,11975000,12150000,boundary
chr1,12150000,12300000,boundary
chr1,16700000,16825000,boundary
chr1,17175000,17250000,boundary
chr1,17250000,17375000,boundary
chr1,17825000,17975000,boundary
chr1,19400000,19575000,boundary
chr1,19575000,19650000,boundary
chr1,20000000,20200000,boundary
chr1,20825000,21000000,boundary
chr1,22350000,22425000,boundary
chr1,26350000,26475000,boundary
chr1,27250000,27425000,boundary
chr1,27625000,27725000,boundary
chr1,28000000,28050000,boundary
chr1,28050000,28175000,boundary
chr1,28550000,28700000,boundary
chr1,28850000,28975000,boundary
chr1,29100000,29200000,boundary
chr1,31400000,31550000,boundary
chr1,31550000,31625000,boundary
chr1,32525000,32650000,boundary
chr1,33950000,34100000,boundary
chr1,35225000,35325000,boundary
chr1,35900000,36025000,boundary
chr1,36775000,36975000,boundary
chr1,38175000,38275000,boundary
chr1,39550000,39650000,boundary
chr1,39975000,40050000,boundary
chr1,40900000,41000000,boundary
chr1,44450000,44525000,boundary
chr1,44525000,44675000,boundary
chr1,45125000,45250000,boundary
chr1,45250000,45300000,boundary
chr1,45975000,46050000,boundary
chr1,46350000,46475000,boundary
chr1,46700000,46825000,boundary
chr1,47800000,47900000,boundary
chr1,53150000,53300000,boundary
chr1,53300000,53375000,boundary
chr1,53875000,53925000,boundary
chr1,54225000,54300000,boundary
chr1,55350000,55525000,boundary
chr1,57050000,57175000,boundary
chr1,60225000,60425000,boundary
chr1,65200000,65300000,boundary
chr1,72575000,72650000,boundary
chr1,76100000,76175000,boundary
chr1,76175000,76250000,boundary
chr1,78025000,78150000,boundary
chr1,79075000,79150000,boundary
chr1,79150000,79300000,boundary
chr1,86050000,86175000,boundary
chr1,87750000,87800000,boundary
chr1,91325000,91375000,boundary
chr1,91375000,91450000,boundary
chr1,91625000,91750000,boundary
chr1,93550000,93750000,boundary
chr1,94375000,94475000,boundary
chr1,94800000,94950000,boundary
chr1,95550000,95725000,boundary
chr1,100925000,101000000,boundary
chr1,101775000,101975000,boundary
chr1,105200000,105325000,boundary
chr1,107600000,107675000,boundary
chr1,109200000,109250000,boundary
chr1,109475000,109650000,boundary
chr1,110025000,110075000,boundary
chr1,110075000,110175000,boundary
chr1,110575000,110675000,boundary
chr1,113250000,113350000,boundary
chr1,115250000,115325000,boundary
chr1,118550000,118625000,boundary
chr1,121075000,121125000,boundary
chr1,145625000,145700000,boundary
chr1,146450000,146500000,boundary
chr1,146625000,146725000,boundary
chr1,149750000,149800000,boundary
chr1,150450000,150525000,boundary
chr1,151150000,151250000,boundary
chr1,151250000,151375000,boundary
chr1,151850000,152025000,boundary
chr1,152025000,152150000,boundary
chr1,152450000,152525000,boundary
chr1,153475000,153625000,boundary
chr1,153625000,153750000,boundary
chr1,153975000,154150000,boundary
chr1,154150000,154250000,boundary
chr1,154450000,154525000,boundary
chr1,154925000,155050000,boundary
chr1,155050000,155150000,boundary
chr1,155150000,155225000,boundary
chr1,155225000,155300000,boundary
chr1,155600000,155700000,boundary
chr1,155700000,155875000,boundary
chr1,155875000,156050000,boundary
chr1,156050000,156100000,boundary
chr1,156350000,156425000,boundary
chr1,156925000,157050000,boundary
chr1,157050000,157150000,boundary
chr1,157850000,157925000,boundary
chr1,158975000,159075000,boundary
chr1,159075000,159175000,boundary
chr1,160975000,161125000,boundary
chr1,161375000,161425000,boundary
chr1,162775000,162825000,boundary
chr1,167425000,167525000,boundary
chr1,167525000,167675000,boundary
chr1,167900000,168050000,boundary
chr1,168050000,168200000,boundary
chr1,168200000,168300000,boundary
chr1,169325000,169425000,boundary
chr1,169425000,169525000,boundary
chr1,171300000,171450000,boundary
chr1,171450000,171575000,boundary
chr1,175000000,175100000,boundary
chr1,179675000,179800000,boundary
chr1,183925000,184025000,boundary
chr1,185150000,185275000,boundary
chr1,186275000,186350000,boundary
chr1,193025000,193100000,boundary
chr1,197375000,197475000,boundary
chr1,199525000,199650000,boundary
chr1,201950000,202125000,boundary
chr1,203250000,203300000,boundary
chr1,204925000,205050000,boundary
chr1,205225000,205300000,boundary
chr1,205500000,205625000,boundary
chr1,205625000,205750000,boundary
chr1,207925000,207975000,boundary
chr1,207975000,208150000,boundary
chr1,211325000,211425000,boundary
chr1,214375000,214500000,boundary
chr1,215700000,215800000,boundary
chr1,222900000,222950000,boundary
chr1,226175000,226250000,boundary
chr1,226250000,226300000,boundary
chr1,229700000,229775000,boundary
chr1,231375000,231450000,boundary
chr1,231750000,231975000,boundary
chr1,234625000,234750000,boundary
chr1,235225000,235275000,boundary
chr1,235850000,235950000,boundary
chr1,236150000,236275000,boundary
chr1,244475000,244600000,boundary
chr1,246050000,246150000,boundary
chr1,246950000,247000000,boundary
chr1,247275000,247325000,boundary
chr1,247325000,247525000,boundary
chr10,175000,225000,boundary
chr10,3100000,3225000,boundary
chr10,6725000,6875000,boundary
chr10,7450000,7550000,boundary
chr10,7800000,7900000,boundary
chr10,11325000,11375000,boundary
chr10,14900000,15000000,boundary
chr10,18850000,18975000,boundary
chr10,23275000,23375000,boundary
chr10,25300000,25375000,boundary
chr10,28525000,28700000,boundary
chr10,29650000,29800000,boundary
chr10,32500000,32675000,boundary
chr10,32675000,32750000,boundary
