chrom,start,end,type
chr1,1475000,1575000,boundary
chr1,1575000,1675000,boundary
chr1,1675000,1850000,boundary
chr1,1850000,2000000,boundary
chr1,4500000,4575000,boundary
chr1,6550000,6750000,boundary
chr1,9175000,9300000,boundary
chr1,9600000,9650000,boundary
chr1,11700000,11800000,boundary
chr1,12025000,12150000,boundary
chr1,17175000,17250000,boundary
chr1,17250000,17375000,boundary
chr1,17825000,18000000,boundary
chr1,19425000,19600000,boundary
chr1,20825000,20975000,boundary
chr1,22350000,22450000,boundary
chr1,23600000,23700000,boundary
chr1,24300000,24350000,boundary
chr1,28575000,28650000,boundary
chr1,31425000,31625000,boundary
chr1,39975000,40050000,boundary
chr1,40050000,40200000,boundary
chr1,40900000,41050000,boundary
chr1,41500000,41650000,boundary
chr1,46325000,46450000,boundary
chr1,48275000,48425000,boundary
chr1,51725000,51825000,boundary
chr1,52350000,52475000,boundary
chr1,53325000,53400000,boundary
chr1,54475000,54550000,boundary
chr1,55400000,55500000,boundary
chr1,57100000,57200000,boundary
chr1,58325000,58450000,boundary
chr1,58575000,58650000,boundary
chr1,62350000,62550000,boundary
chr1,76100000,76175000,boundary
chr1,76650000,76725000,boundary
chr1,79075000,79150000,boundary
chr1,81125000,81300000,boundary
chr1,88525000,88575000,boundary
chr1,93200000,93300000,boundary
chr1,93475000,93525000,boundary
chr1,96300000,96375000,boundary
chr1,98975000,99200000,boundary
chr1,104800000,105025000,boundary
chr1,105025000,105150000,boundary
chr1,105350000,105450000,boundary
chr1,105725000,105775000,boundary
chr1,106200000,106275000,boundary
chr1,106275000,106375000,boundary
chr1,106375000,106575000,boundary
chr1,106575000,106725000,boundary
chr1,106725000,106825000,boundary
chr1,106825000,107100000,boundary
chr1,107100000,107475000,boundary
chr1,107475000,107700000,boundary
chr1,108125000,108250000,boundary
chr1,109250000,109300000,boundary
chr1,110025000,110075000,boundary
chr1,110575000,110675000,boundary
chr1,116150000,116225000,boundary
chr1,117050000,117125000,boundary
chr1,119500000,119550000,boundary
chr1,119775000,119975000,boundary
