chrom,start,end,type
chr1,575000,625000,boundary
chr1,625000,700000,boundary
chr1,700000,800000,boundary
chr1,800000,900000,boundary
chr1,1250000,1500000,boundary
chr1,1500000,1575000,boundary
chr1,1575000,1675000,boundary
chr1,1675000,1850000,boundary
chr1,1850000,2050000,boundary
chr1,6050000,6250000,boundary
chr1,6250000,6300000,boundary
chr1,6550000,6750000,boundary
chr1,6750000,6850000,boundary
chr1,8925000,9050000,boundary
chr1,9175000,9300000,boundary
chr1,9650000,9775000,boundary
chr1,10000000,10100000,boundary
chr1,10425000,10550000,boundary
chr1,11700000,11875000,boundary
chr1,11875000,11975000,boundary
chr1,11975000,12150000,boundary
chr1,12150000,12325000,boundary
chr1,12750000,12850000,boundary
chr1,16400000,16525000,boundary
chr1,16525000,16575000,boundary
chr1,17175000,17250000,boundary
chr1,17250000,17375000,boundary
chr1,17825000,17975000,boundary
chr1,19450000,19575000,boundary
chr1,19575000,19650000,boundary
chr1,20000000,20200000,boundary
chr1,20825000,21000000,boundary
chr1,22350000,22425000,boundary
chr1,24300000,24350000,boundary
chr1,27250000,27425000,boundary
chr1,27625000,27725000,boundary
chr1,28000000,28050000,boundary
chr1,28575000,28675000,boundary
chr1,28850000,28975000,boundary
chr1,31400000,31625000,boundary
chr1,32025000,32100000,boundary
chr1,32100000,32225000,boundary
chr1,32550000,32650000,boundary
chr1,33175000,33275000,boundary
chr1,33950000,34100000,boundary
chr1,35225000,35325000,boundary
chr1,35925000,36025000,boundary
chr1,36775000,36975000,boundary
chr1,38150000,38275000,boundary
chr1,40050000,40250000,boundary
chr1,40900000,41050000,boundary
chr1,44450000,44675000,boundary
chr1,44675000,44800000,boundary
chr1,45975000,46050000,boundary
chr1,46700000,47000000,boundary
chr1,51700000,51775000,boundary
chr1,52275000,52350000,boundary
chr1,53175000,53300000,boundary
chr1,55350000,55500000,boundary
chr1,57175000,57275000,boundary
chr1,60250000,60425000,boundary
chr1,61300000,61500000,boundary
chr1,65150000,65300000,boundary
chr1,68925000,68975000,boundary
chr1,76075000,76150000,boundary
chr1,85250000,85400000,boundary
chr1,86100000,86175000,boundary
chr1,93100000,93300000,boundary
chr1,93475000,93525000,boundary
chr1,94375000,94475000,boundary
chr1,94800000,94950000,boundary
chr1,101775000,101850000,boundary
chr1,108675000,108750000,boundary
chr1,109500000,109650000,boundary
chr1,110025000,110075000,boundary
chr1,110575000,110675000,boundary
chr1,111050000,111150000,boundary
chr1,113250000,113350000,boundary
chr1,115250000,115325000,boundary
chr1,118500000,118700000,boundary
chr1,120075000,120250000,boundary
chr1,120250000,120400000,boundary
chr1,145625000,145675000,boundary
chr1,146625000,146725000,boundary
chr1,146725000,146900000,boundary
chr1,149625000,149700000,boundary
chr1,150425000,150525000,boundary
chr1,150525000,150600000,boundary
chr1,150975000,151150000,boundary
chr1,151150000,151250000,boundary
chr1,151250000,151400000,boundary
chr1,151825000,152025000,boundary
chr1,152025000,152150000,boundary
chr1,152450000,152525000,boundary
chr1,152525000,152625000,boundary
chr1,153475000,153650000,boundary
chr1,153650000,153750000,boundary
chr1,154150000,154250000,boundary
chr1,154450000,154525000,boundary
chr1,154925000,155050000,boundary
chr1,155050000,155150000,boundary
chr1,155150000,155200000,boundary
chr1,155600000,155725000,boundary
chr1,155725000,155875000,boundary
chr1,155875000,156050000,boundary
chr1,156050000,156100000,boundary
chr1,156100000,156325000,boundary
chr1,156325000,156425000,boundary
chr1,156600000,156650000,boundary
chr1,156650000,156750000,boundary
chr1,156925000,157050000,boundary
chr1,157050000,157150000,boundary
chr1,159075000,159175000,boundary
chr1,159750000,159875000,boundary
chr1,159875000,160000000,boundary
chr1,160000000,160050000,boundary
chr1,160975000,161125000,boundary
chr1,161375000,161425000,boundary
chr1,167425000,167525000,boundary
chr1,167525000,167675000,boundary
chr1,167675000,167775000,boundary
chr1,168050000,168300000,boundary
chr1,169350000,169425000,boundary
chr1,171450000,171575000,boundary
chr1,174075000,174225000,boundary
chr1,174975000,175100000,boundary
chr1,183925000,184000000,boundary
chr1,186275000,186350000,boundary
chr1,193025000,193100000,boundary
chr1,197350000,197500000,boundary
chr1,199525000,199650000,boundary
chr1,201800000,201950000,boundary
chr1,201950000,202125000,boundary
chr1,202125000,202300000,boundary
chr1,204375000,204500000,boundary
chr1,204925000,205050000,boundary
chr1,205225000,205300000,boundary
chr1,205550000,205625000,boundary
chr1,205625000,205750000,boundary
chr1,206175000,206225000,boundary
chr1,207700000,207750000,boundary
chr1,210500000,210575000,boundary
chr1,211325000,211425000,boundary
chr1,213275000,213400000,boundary
chr1,215700000,215800000,boundary
chr1,216950000,217000000,boundary
chr1,219500000,219550000,boundary
chr1,220000000,220125000,boundary
chr1,220400000,220450000,boundary
chr1,222825000,222900000,boundary
chr1,225500000,225650000,boundary
chr1,226050000,226175000,boundary
chr1,226175000,226250000,boundary
chr1,234450000,234625000,boundary
chr1,234625000,234725000,boundary
chr1,237775000,237950000,boundary
chr1,243500000,243575000,boundary
chr1,244450000,244625000,boundary
chr1,246050000,246175000,boundary
chr1,246950000,247075000,boundary
chr10,125000,225000,boundary
chr10,5675000,5800000,boundary
chr10,5800000,5925000,boundary
chr10,5925000,6125000,boundary
chr10,6125000,6250000,boundary
chr10,6750000,6875000,boundary
chr10,12025000,12275000,boundary
chr10,13625000,13675000,boundary
chr10,14900000,15000000,boundary
chr10,18550000,18600000,boundary
chr10,27375000,27550000,boundary
chr10,27550000,27600000,boundary
